Mes;Corto plazo (2021-2040);Mediano plazo (2041-2070);Largo plazo (2071-2099)
1;-65.40527288648816;-57.87900138431125;-51.96507798702781
2;-67.67576882044472;-48.72886899312343;-44.18630967414241
3;-40.54072472784259;-40.50559209717644;-36.07286107439651
4;-12.283460871378566;-16.097498162587442;-12.47476987290652
5;28.77567445966926;22.88922435972424;45.98653800058179
6;41.47954232957635;30.106091796027343;35.1789194371965
7;-3.9925181494818673;7.995465935601118;2.753341575417977
8;-52.5756103303697;-41.367219220267344;-25.744546546789877
9;-25.041460461086615;-18.049441666073236;-21.278686013349656
10;-7.668628353542715;10.562773980034677;15.843576283655892
11;0.3835417429605741;22.76453348795576;37.44972530671927
12;-30.84222755432127;-25.806723658243925;-16.09438342390385
